mat,bieu,series,tinh,nam,ky,vnd,nghin_ty
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,An Giang,2020,Năm,7297834000000,7.2978
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,An Giang,2021,Năm,7239880000000,7.2399
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,An Giang,2019,Năm,7186188000000,7.1862
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,An Giang,2017,Năm,5952904000000,5.9529
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,An Giang,2018,Năm,5992430000000,5.9924
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Bắc Ninh,2019,Năm,30389904000000,30.3899
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Bắc Ninh,2017,Năm,11772053000000,11.7721
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cà Mau,2022,Năm,5377945000000,5.3779
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cà Mau,2020,Năm,6307690000000,6.3077
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cà Mau,2019,Năm,5739587000000,5.7396
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cần Thơ,2019,Năm,11425859411725,11.4259
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cao Bằng,2022,Năm,4009979000000,4.01
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cao Bằng,2020,Năm,1984273000000,1.9843
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cao Bằng,2019,Năm,2270241000000,2.2702
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cao Bằng,2017,Năm,1545467000000,1.5455
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Cao Bằng,2018,Năm,1923068000000,1.9231
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đà Nẵng,2022,Năm,24065209000000,24.0652
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đà Nẵng,2020,Năm,23954573000000,23.9546
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đà Nẵng,2019,Năm,27616982000000,27.617
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đà Nẵng,2017,Năm,23581914000000,23.5819
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đắk Lắk,2020,Năm,8401665000000,8.4017
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đắk Lắk,2019,Năm,7402543000000,7.4025
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đắk Lắk,2017,Năm,5175806000000,5.1758
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đắk Lắk,2018,Năm,5876713000000,5.8767
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Điện Biên,2020,Năm,1458554440000,1.4586
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Điện Biên,2019,Năm,1326690540000,1.3267
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Điện Biên,2017,Năm,1123548980000,1.1235
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Điện Biên,2018,Năm,1247558430000,1.2476
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Nai,2020,Năm,55941533000000,55.9415
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Nai,2019,Năm,55387751,0.0001
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Tháp,2022,Năm,8043942000000,8.0439
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Tháp,2020,Năm,8450687000000,8.4507
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Tháp,2019,Năm,8821334000000,8.8213
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Tháp,2017,Năm,6811750000000,6.8117
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Đồng Tháp,2018,Năm,6811750000000,6.8117
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Gia Lai,2022,Năm,5641803000000,5.6418
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Gia Lai,2017,Năm,4244996000000,4.245
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Gia Lai,2018,Năm,4508543000000,4.5085
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Hà Tĩnh,2022,Năm,18056562000000,18.0566
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Hà Tĩnh,2019,Năm,13494868000000,13.4949
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Hải Phòng,2020,Năm,80446471000000,80.4465
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Hải Phòng,2019,Năm,86625027000000,86.625
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Hải Phòng,2017,Năm,69340729000000,69.3407
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Hải Phòng,2018,Năm,71844203000000,71.8442
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Khánh Hòa,2022,Năm,16581377000000,16.5814
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Khánh Hòa,2020,Năm,13833976000000,13.834
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Khánh Hòa,2021,Năm,14122160000000,14.1222
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Khánh Hòa,2019,Năm,19075261000000,19.0753
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Khánh Hòa,2018,Năm,21942922000000,21.9429
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lai Châu,2020,Năm,2294624898843,2.2946
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lai Châu,2019,Năm,2207613555371,2.2076
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lai Châu,2018,Năm,2262366768969,2.2624
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lâm Đồng,2021,Năm,11023189000000,11.0232
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lâm Đồng,2019,Năm,8674740000000,8.6747
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lâm Đồng,2017,Năm,6120507655084,6.1205
THU  quyết toán,B63,QUYẾT TOÁN/TỔNG THU NSNN,Lạng Sơn,2021,Năm,11005786000000,11.0058
